state,state_abbreviation,state_fips_code,year,month,any_mask_mandate,local_mandates_banned,minimum_wage,has_minwage_preemption_law,pfml_law,has_pfml_preemption_law,psl_law,has_psl_preemption_law,secure_sched_law,secure_sched_prohib,stayathome_law,gen_id_pub_antidisc,gen_id_relig_exemp,ban_gen_id_antidisc,dontsaygay,bathroom_ban,est_pct_population,everify_req_pub,everify_req_priv,sanct_status,sanct_ban,pro_lisc,ice_coop_req,ice_coop_lim
Alabama,AL,1,2013,1,No,No,,0,No,0,No,0,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2013,2,No,No,,0,No,0,No,0,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2013,3,No,No,,0,No,0,No,0,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2013,4,No,No,,0,No,0,No,0,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2013,5,No,No,,0,No,0,No,0,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2013,6,No,No,,0,No,0,No,0,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2013,7,No,No,,0,No,0,No,0,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2013,8,No,No,,0,No,0,No,0,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2013,9,No,No,,0,No,0,No,0,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2013,10,No,No,,0,No,0,No,0,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2013,11,No,No,,0,No,0,No,0,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2013,12,No,No,,0,No,0,No,0,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2014,1,No,No,,0,No,0,No,0,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2014,2,No,No,,0,No,0,No,0,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2014,3,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2014,4,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2014,5,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2014,6,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2014,7,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2014,8,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2014,9,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2014,10,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2014,11,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2014,12,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2015,1,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2015,2,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2015,3,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2015,4,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2015,5,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
Alabama,AL,1,2015,6,No,No,,0,No,1,No,1,No,No,No,No,Yes,No,No,No,.025,Yes,Yes,No,Yes,No,No,No
